treatment	result_name	plant_number	plant_number	yield_g	sample_weight
heated_roots	ht-QQ74-1	1	1	24.08	0.6541
heated_roots	ht-QQ74-2	2	2	18.64	0.1841
heated_roots	ht-QQ74-3	3	3	17.72	0.302
heated_roots	ht-QQ74-4	4	4	23.07	0.3056
heated_roots	ht-QQ74-6	6	6	22.77	0.2522
heated_roots	ht-QQ74-8	8	8	26.37	0.6578
heated_roots	ht-QQ74-9	9	9	23.73	0.2073
heated_roots	ht-QQ74-11	11	11	15.08	0.1921
heated_roots	ht-QQ74-12	12	12	17.15	0.2624
heated_roots	ht-QQ74-14	14	14	12.67	0.2814
heated_roots	ht-QQ74-15	15	15	17.15	0.7858
control	ht-QQ74-16	16	16	14.12	0.3201
control	ht-QQ74-17	17	17	14.04	0.1325
control	ht-QQ74-18	18	18	12.25	0.3472
control	ht-QQ74-20	20	20	14.85	0.1801
control	ht-QQ74-22	22	22	18.11	0.2546
control	ht-QQ74-23	23	23	20	0.2031
control	ht-QQ74-25	25	25	15.51	0.1359
control	ht-QQ74-26	26	26	23.13	0.1859
control	ht-QQ74-29	29	29	20.18	0.1791
heated_shoots	ht-QQ74-31	31	31	1.94	0.1801
heated_shoots	ht-QQ74-32	32	32	2.86	0.1714
heated_shoots	ht-QQ74-34	34	34	3.35	0.6528
heated_shoots	ht-QQ74-35	35	35	1.86	0.1349
heated_shoots	ht-QQ74-36	36	36	2.54	0.7983
heated_shoots	ht-QQ74-38	38	38	2.45	0.2482
heated_shoots	ht-QQ74-40	40	40	2.52	0.048
heated_shoots	ht-QQ74-43	43	43	2.58	0.0439
heated_shoots	ht-QQ74-44	44	44	3.57	0.6928
heated_shoots	ht-QQ74-45	45	45	1.72	0.2545
heated_shoots_and_roots	ht-QQ74-46	46	46	0.88	0.0844
heated_shoots_and_roots	ht-QQ74-47	47	47	2.52	0.2778
heated_shoots_and_roots	ht-QQ74-48	48	48	3.57	0.088
heated_shoots_and_roots	ht-QQ74-50	50	50	3.68	0.0781
heated_shoots_and_roots	ht-QQ74-51	51	51	2.57	0.0653
heated_shoots_and_roots	ht-QQ74-52	52	52	6.45	0.1768
heated_shoots_and_roots	ht-QQ74-55	55	55	3.22	0.6875
heated_shoots_and_roots	ht-QQ74-56	56	56	3.28	0.7313
heated_shoots_and_roots	ht-QQ74-57	57	57	1.4	0.2318
heated_shoots_and_roots	ht-QQ74-59	59	59	3.27	0.2941
heated_shoots_and_roots	ht-QQ74-60	60	60	4.01	0.652
