genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
ht-QQ74-1	SHAPES_DATA	3659.0	3693.5	0.990659266279	247.622364283	69	72	501	3822.92429626	2800.15113419	25	True	3823.03393555	2800.27832031	71.4771652222	64.1683654785	152.012115479	0.440512722413	73785.0
ht-QQ74-1	SHAPES_DATA	3462.0	3514.5	0.98506188647	242.894442439	66	68	528	1364.2339688	2476.33737724	26	True	1364.23022461	2476.38330078	68.5005950928	63.1612510681	159.99130249	0.387061145838	73785.0
ht-QQ74-1	SHAPES_DATA	4957.0	5073.5	0.977037548044	302.391916275	85	82	584	2706.21747024	2448.64676215	25	True	2706.16503906	2448.64282227	80.3871002197	77.1215820312	41.1282196045	0.28212523889	73785.0
ht-QQ74-1	SHAPES_DATA	2494.0	2557.5	0.975171065494	214.166520596	57	60	426	1738.49238172	2416.2670409	24	True	1738.56213379	2416.484375	57.8859024048	53.9248466492	2.40233135223	0.363558621626	73785.0
ht-QQ74-1	SHAPES_DATA	3571.0	3601.0	0.991668980839	244.693431973	68	72	499	2426.21786614	2379.41612994	26	True	2426.29003906	2379.49194336	69.6217269897	64.3034439087	158.962539673	0.383329319189	73785.0
ht-QQ74-1	SHAPES_DATA	3995.0	4062.0	0.983505662235	258.007140279	79	73	546	3157.97071339	2369.94267835	22	True	3158.13305664	2369.96362305	73.331993103	68.5665664673	112.558807373	0.354606260321	73785.0
ht-QQ74-1	SHAPES_DATA	3901.0	3970.0	0.982619647355	270.391916275	79	72	548	615.681107408	2350.05562676	26	True	615.605773926	2350.13891602	75.9078292847	64.2354507446	57.788269043	0.532818442203	73785.0
ht-QQ74-1	SHAPES_DATA	4167.0	4250.0	0.980470588235	273.421353817	76	77	527	2025.33117351	2346.43508519	27	True	2025.48937988	2346.51879883	74.3665390015	70.3693008423	149.880477905	0.323437584616	73785.0
ht-QQ74-1	SHAPES_DATA	4065.0	4129.5	0.984380675627	260.936072588	73	78	544	1632.39384994	2301.67257073	27	True	1632.45141602	2301.75927734	74.5133209229	68.3338165283	166.058258057	0.398729780921	73785.0
ht-QQ74-1	SHAPES_DATA	4977.0	5123.0	0.97150107359	313.70562458	88	84	625	3699.23668877	2255.55033153	25	True	3699.46630859	2255.85522461	84.7061386108	74.6295547485	122.582626343	0.473040488564	73785.0
ht-QQ74-1	SHAPES_DATA	3523.0	3609.0	0.9761706844	250.450791359	69	72	500	3153.12659665	2192.41527108	22	True	3153.17919922	2192.57666016	71.0603408813	62.3037185669	136.054901123	0.480906255072	73785.0
